"","V1","V2"
"1%",-0.335164136642376,0.0778997978619072
"2%",-0.335164136642376,0.0844745278661981
"3%",-0.308621622171487,0.0874489944386234
"4%",-0.274083977252823,0.0889175757437625
"5%",-0.263838104349087,0.090634819598861
"6%",-0.202319931678039,0.0917733544811089
"7%",-0.194602764032732,0.0929120867924622
"8%",-0.189583687800241,0.0940339447246572
"9%",-0.186978739254134,0.0946552244996447
"10%",-0.184971187794428,0.0955943299899666
"11%",-0.182940413455049,0.0963523479007125
"12%",-0.181837424401105,0.0973610850807779
"13%",-0.180803564861358,0.0984117486065954
"14%",-0.179492603591809,0.0991991482854537
"15%",-0.178673385427116,0.0999168026583117
"16%",-0.177887799744345,0.100405531255542
"17%",-0.17683577664938,0.101041490105518
"18%",-0.175798776687926,0.10164204227188
"19%",-0.175085169630498,0.102158410862505
"20%",-0.174483413829106,0.102651752176699
"21%",-0.173748387922314,0.103190859092259
"22%",-0.17311760963847,0.103615073328269
"23%",-0.172527072015893,0.104256715644369
"24%",-0.172008611416391,0.104821040687811
"25%",-0.171399588099054,0.105244121322026
"26%",-0.170833452993384,0.10565405416205
"27%",-0.170289485894736,0.106138531369901
"28%",-0.169830631041291,0.106573043123778
"29%",-0.169411639660628,0.107265437930461
"30%",-0.168997991681572,0.107706676590066
"31%",-0.168465106431904,0.107926662569836
"32%",-0.167903052181648,0.108455003957533
"33%",-0.167419849575459,0.108762142515473
"34%",-0.166971824735552,0.109123816319177
"35%",-0.166291045150135,0.109590944140346
"36%",-0.165903605336033,0.109987598979426
"37%",-0.165553733444901,0.110508597693099
"38%",-0.165110906378064,0.110900057902948
"39%",-0.164637704084187,0.111321112355761
"40%",-0.164226527257027,0.111686223252768
"41%",-0.163775427453461,0.112086082891671
"42%",-0.163384663139061,0.112497092355988
"43%",-0.162958869655335,0.112909698155896
"44%",-0.162559345516425,0.113393210142031
"45%",-0.162059884684617,0.113777410822928
"46%",-0.161724045112283,0.114191519371367
"47%",-0.161365378402624,0.114548758507805
"48%",-0.160883732306275,0.114888733844657
"49%",-0.160493894518022,0.115241840843849
"50%",-0.160050265588761,0.11569034423166
"51%",-0.15959872939956,0.116063180894601
"52%",-0.159266056230863,0.116449126350914
"53%",-0.158850674813713,0.116831158335914
"54%",-0.158498571544825,0.117126972113955
"55%",-0.157974202597317,0.117540521340707
"56%",-0.157551990287157,0.117984214812277
"57%",-0.156918084239371,0.118241560240571
"58%",-0.156620786492177,0.1186955204878
"59%",-0.156192821479489,0.11897379963408
"60%",-0.15567305882709,0.119328560776445
"61%",-0.155358539970228,0.119791854009585
"62%",-0.155046226646706,0.120257330000231
"63%",-0.154657986563913,0.120623840823383
"64%",-0.154241282564296,0.121070120755509
"65%",-0.153903761817981,0.121379905888542
"66%",-0.153384714256139,0.121904977891648
"67%",-0.152855968855822,0.122332920822016
"68%",-0.15247349639358,0.122736577981478
"69%",-0.152096759661588,0.123150087209476
"70%",-0.15170002852143,0.123607768431411
"71%",-0.151400367459802,0.124192869208781
"72%",-0.151095992683316,0.124722889624871
"73%",-0.150516640101992,0.125237745049086
"74%",-0.150188034328757,0.125599202089418
"75%",-0.149584993509329,0.126097834753374
"76%",-0.149129672266412,0.126464400495983
"77%",-0.14858627524743,0.126973706892976
"78%",-0.147965896745818,0.127477617202162
"79%",-0.147487704868465,0.128271765372194
"80%",-0.147041274536553,0.12904968922923
"81%",-0.146516332790081,0.129765478413033
"82%",-0.145898643934641,0.13052855459724
"83%",-0.145395211723606,0.131258772152231
"84%",-0.144510654694545,0.131956781520972
"85%",-0.143919540101849,0.133047883358917
"86%",-0.143410330805753,0.133667187465823
"87%",-0.142246908139383,0.134753457402476
"88%",-0.141693780772656,0.135707283386903
"89%",-0.140956066575044,0.137261107539789
"90%",-0.140015855740454,0.138888530760182
"91%",-0.139133985867878,0.140707357769665
"92%",-0.13798514148313,0.142805024163148
"93%",-0.136704561862145,0.146245497007097
"94%",-0.135919293320076,0.151980511672893
"95%",-0.134753233310288,0.172998198569997
"96%",-0.13278814971243,0.182053481468006
"97%",-0.130301186434507,0.189837200341572
"98%",-0.127148087915636,0.259575766050109
"99%",-0.12020646424724,0.259575766050109
