"","V1","V2"
"1%",-220.416817131093,-5790.39564784156
"2%",-57.1095483284613,-5167.55410077884
"3%",-26.7711444212319,-4874.5322335022
"4%",-4.33004434381258,-4635.69480129008
"5%",5.80250052355771,-4316.33210718935
"6%",43.3502935169945,-3943.7168446139
"7%",91.9914583432444,-3679.97726876307
"8%",134.41816958813,-3453.67911728323
"9%",260.173769138655,-3270.89275472549
"10%",581.047636376743,-3131.94610893162
"11%",1023.42325430666,-2954.92682598232
"12%",1780.16641432771,-2770.19311747796
"13%",3011.90059834019,-2600.81456681673
"14%",3639.21868019651,-2420.92322080011
"15%",4207.61687069819,-2221.53781752472
"16%",4736.09547508047,-2019.08438107588
"17%",5083.53186429242,-1744.49360669232
"18%",5449.98936039073,-1364.50746952703
"19%",5831.24687862427,-1081.04675663123
"20%",6192.32537084645,-861.659743262525
"21%",6518.38113128926,-665.490215463354
"22%",6856.73615764855,-496.935450455942
"23%",7185.26981596068,-304.103442637541
"24%",7508.9881072396,-139.560877821017
"25%",7818.6631459672,-62.4370531049617
"26%",8100.07385605957,-23.6041081543746
"27%",8354.86231842519,-7.56191619695627
"28%",8555.45207425534,-1.40997605334171
"29%",8730.08842267908,12.7453614387518
"30%",8923.53456891473,110.595232964111
"31%",9119.84266124789,635.313696710396
"32%",9309.28133096752,1065.98493428608
"33%",9468.28721985,1498.69740979468
"34%",9601.70206721855,1791.4631272383
"35%",9811.34888408332,2006.88525344956
"36%",9980.64351561654,2196.3597570426
"37%",10122.383647344,2414.40663188767
"38%",10274.2321964889,2615.14605271935
"39%",10434.0099072221,2829.26832113419
"40%",10574.591548309,3097.12333386332
"41%",10740.4292969186,3532.09476584872
"42%",10912.0474270349,4158.9696231114
"43%",11087.2596877199,4505.48603253121
"44%",11293.2526014326,4741.63372565446
"45%",11471.12275374,4917.78971505595
"46%",11640.9973504189,5114.54288358505
"47%",11825.6241330745,5288.72050907289
"48%",11986.318947476,5502.3592851531
"49%",12187.363624084,5711.96979049831
"50%",12358.5701800883,5895.83394246659
"51%",12542.7773760669,6138.39597543637
"52%",12782.0584041443,6413.20321445154
"53%",13049.2755928722,6669.64716784749
"54%",13518.065248479,6891.72695855193
"55%",14375.3964977139,7052.27041670064
"56%",15040.4712539095,7247.47268408755
"57%",15516.6927363481,7434.86204653509
"58%",16182.080998892,7595.36913617584
"59%",16562.6571272189,7770.07717168952
"60%",16923.2179801676,7940.01685023449
"61%",17399.3981270635,8117.71224621741
"62%",17794.4351587924,8308.58877190315
"63%",18075.9951590542,8485.0583349001
"64%",18270.8471223225,8669.0470620655
"65%",18462.9058986586,8803.0802741789
"66%",18676.1977764762,8940.1189031143
"67%",18854.6626623216,9071.93775702818
"68%",19026.1851696096,9201.70798936588
"69%",19203.2290327762,9321.85114790037
"70%",19354.2688427815,9460.29082073198
"71%",19501.9995954647,9580.34584748843
"72%",19689.0466274023,9702.34959107287
"73%",19853.054955296,9817.94620079499
"74%",19991.8819859653,9915.27533231624
"75%",20133.7502851096,10027.5102216723
"76%",20266.9813116378,10131.6100127982
"77%",20420.9778392304,10256.8007215005
"78%",20553.4149473887,10370.9173201016
"79%",20724.4561787185,10474.4034843232
"80%",20888.6409827347,10608.6860716675
"81%",21054.8255400752,10748.690895571
"82%",21198.3545142854,10908.0878075764
"83%",21376.7188951524,11109.4803798587
"84%",21530.8105667529,11284.0982069389
"85%",21707.1264717028,11549.7528862858
"86%",21893.8521590596,11824.329104727
"87%",22099.4424555079,12083.6579146823
"88%",22285.7358929692,12344.7235854496
"89%",22570.4768399051,12599.3521871512
"90%",22906.4111548504,12818.4200479834
"91%",23244.6918591919,13088.2244316358
"92%",23601.1190154531,13377.9782290086
"93%",23925.7669069133,13641.4518494953
"94%",24577.510863487,13925.7417442424
"95%",25349.839002919,14233.2816552998
"96%",26254.8781511109,14737.8875579314
"97%",27270.2150469801,15326.4525260502
"98%",28066.7404790877,15901.1794527723
"99%",29779.3450802117,16676.8546774632
